组,指标名,类型,功能（测什么/反映什么/怎么用）,埋点位置,实现方式
B,drampool_dump_failed_entries_total,Counter,测累计结果为Failed的DUMP entry数（StoreBegin失败短路标记/提交失败标记/传输失败结算/StoreEnd失败结算四条路径合并 record.results定稿值 三次修改由批次Gauge×2改造而来）；反映写入失败总规模（累计 无快照歧义）；速率>0持续=写入链路异常 结合nospace_failures（元数据侧）与transfer/submit_failures（传输/提交侧）区分根因 重复性分析：与上述Counter维度不同无重复,completion_poller.cc SubmitResponse() Pack前（record.results定稿处——四条失败路径唯一汇合点） 哨兵块内对Failed结果计数 条件opcode==Dump,MetricsCount(+N) begin_us哨兵挡NoSpace重试重复计数
C,drampool_load_miss_entries_total,Counter,测LOAD未取到数据的entry数——登记本miss：LoadBegin失败（key不存在或状态非READY）与请求长度大于存储长度两类之和 对客户端都是没取到；反映读取未命中规模；突增说明读取了被驱逐/过期/尚未写完的数据（命中率精确式依赖成功entry直测 bytes删除后暂不可算 以miss绝对速率监控为主）,task_worker.cc ProcessLoad() L187-192,MetricsCount(+1)
D,drampool_lookup_miss_entries_total,Counter,测LOOKUP中不存在或非READY的entry数（batch_size−hit数 hit数仅循环内累计不上报——五次修改后hit指标已删除 循环外一次上报）；反映查询未命中规模；突增说明查询了被驱逐/过期的前缀 通常先于LOAD miss出现（驱逐过快预警） 命中率暂不可由指标推导（§4.4注）,task_worker.cc ProcessLookup() L275-279（batch_size−hit数 循环外一次上报）,循环外一次上报
E,drampool_transfer_failures_total,Counter,测数据传输以非Completed终态结束的请求数（DUMP/LOAD合并大类 Failed或GetStatus异常均计）；反映传输失败强度；增长需排查对端网络/连接状态（与opcode无关 低频不细分）,completion_poller.cc SettleDataTransfer() 统一出口（terminalStatus != Completed DUMP/LOAD同点合并计数）,MetricsCount(+1)
E,drampool_response_failures_total,Counter,测响应返回链路失败计数（本地提交Allocate非NoSpace失败/Pack失败/ExecuteAsync失败+写回传输失败 DUMP/LOAD合并大类 flag池NoSpace属重试不算）；反映结果返回通道健康度；增长锁定响应链路故障域 结合WARN/ERROR日志定位提交/写回哪一环,completion_poller.cc SubmitResponse() L174-177与L187-192与L205-212 + PollResponseTransfer() L228-233与L248-253 五点合并,MetricsCount(+1)
E,drampool_submit_failures_total,Counter,测数据传输提交失败的请求数（DUMP/LOAD合并大类 ExecuteAsync失败或handle无效 LOAD侧整批已LoadEnd释放引用）；反映传输子系统提交路径健康度；增长指向传输子系统初始化/资源异常 客户端整批失败,task_worker.cc ProcessDump() L160-169 + ProcessLoad() L241-250 两点合并,MetricsCount(+1)
H,drampool_queue_request_full_total,Counter,测requestQueue满TryPush失败事件数（每次失败+1按次计）；反映接收线程被阻塞强度（阻塞时长≈full数×requestReceiverIdleWaitUs 100µs） 阻塞链B1；增长=TaskWorker消费跟不上或下游反压传导 高概率压力场景核心告警信号,drampool_server.cc TryPush失败分支（L518-523 WARN处）,MetricsCount
H,drampool_queue_completion_full_total,Counter,测completionQueue满SubmitCompletion被迫自旋等待事件数（Push前TryPush探测 失败+1后仍退回Push不改行为）；反映TaskWorker停摆位置与强度（既不取新请求也不响应stop） 阻塞链B3 停摆无日志兜底此指标为唯一观测手段；增长=Poller消费不足 随后request_full连锁增长,task_worker.cc SubmitCompletion() TryPush探测失败分支（L320-328微改造 §10）,MetricsCount + TryPush探测
H,drampool_queue_response_buffer_retry_total,Counter,测响应flag缓冲池NoSpace SubmitResponse留pending下轮重试事件数；反映响应缓冲供给不足（不阻塞Poller线程 但阻塞该请求响应提交、推高I组批次总耗时） 缓冲链B2；增长=响应突发超slot供给或写回慢未释放槽位 与flag_pool_usage_ratio、I组批次总耗时联动,completion_poller.cc SubmitResponse() NoSpace分支（L166-172 WARN处）,MetricsCount

# ================= Gauge 实况类（6 个）=================
F,drampool_metadata_entry_count,Gauge [覆盖],测当前池内缓存条目（block）总数（1024分片求和）；反映元数据规模容量水位；增长斜率反映写入/驱逐平衡 配合usage_ratio判断驱逐压力区,drampool_server.cc GCThreadLoop() L552-561,MetricsSet(GetKeyCnt()) 覆盖写（接口已存在）
F,drampool_buffer_pool_usage_ratio_<slot_size>,Gauge [覆盖]（动态注册 每block size一个）,测各block尺寸数据池已用槽位占比（used/slot count）；反映分尺寸内存水位；逼近1=该尺寸池即将触发驱逐重试（DUMP prepare抖动与nospace_failures的前兆） 容量规划第一信号,drampool_server.cc GCThreadLoop() L552-561 遍历poolBlockSizes,启动期按尺寸动态CreateStats + BufferManager.GetUsedSlotRatio()（新增原子记账）
F,drampool_flag_pool_usage_ratio,Gauge [覆盖],测flag响应缓冲池已用槽位占比（used/flagBufferSlotCount）；反映响应回填缓冲水位 逼近1=B2链（flag池NoSpace→response_buffer_retry）前兆信号；用于flag池扩容决策的交叉验证（此前无水位指标可查）,completion_poller.cc 调用点记账（§4.3）：SubmitResponse() Allocate成功（L164）+1 ReleaseResponseBuffer Free成功（L38）-1 PollPendingCompletions()每轮尾部上报,MetricsSet(used/slotCount) 单线程普通size_t记账 无需atomic
H,drampool_queue_request_size,Gauge [覆盖]（六次修改 替代原enqueued/dequeued×2 Counter）,测requestQueue当前排队中的请求数（TryPush成功后与TryPop成功后覆盖写 最新值生效）；反映接收侧待处理积压；持续增长=TaskWorker消费跟不上到达速率或下游反压传导（B1/B3定位 §4.6）,drampool_server.cc RequestReceiveLoop() TryPush成功后（L517）+ task_worker.cc Run() TryPop成功后（L49）两点,MetricsSet(队列当前长度)
H,drampool_queue_completion_size,Gauge [覆盖]（六次修改 替代原enqueued/dequeued×2 Counter）,测completionQueue当前排队的完成记录数（Push成功后与TryPop成功后覆盖写 最新值生效）；反映完成流第二级缓冲积压；持续增长=Poller消费不足 随后request_full连锁↑（B3反压传导的前置信号）,task_worker.cc SubmitCompletion() Push成功后（L326）+ completion_poller.cc FillPendingWindow() TryPop成功后（L71-72）两点,MetricsSet(队列当前长度)
H,drampool_queue_completion_inflight,Gauge [覆盖],测Poller pending窗口内在途完成记录数（等终态/等响应提交/等写回 每轮覆盖写）；反映完成链路第二级缓冲占用；持续逼近pollerPendingDepth（默认64）=拉取停摆 与completion_full互相印证,completion_poller.cc PollPendingCompletions() 每轮尾部（L117后）,MetricsSet(pending_.size())
